Cue,NivelEducativo
20105803,Jardin
20105900,Primario
20106200,Secundario
20106800,Jardin
20106800,Primario
20106900,Secundario
20107000,Primario
20107400,SNU
20107900,Secundario
20108000,Primario
20108100,Primario
20108200,Primario
20108500,Secundario
20108600,Primario
20108700,Primario
20108800,Jardin
20108800,Primario
20108800,Secundario
20109000,Jardin
20109100,Jardin
20109100,Primario
20109100,Secundario
20109200,Primario
20109300,Primario
20109400,Primario
20109500,Primario
20109600,SNU
20110200,Primario
20110300,Primario
20110400,SNU
20110600,SNU
20111100,Jardin
20111100,Primario
20111100,Secundario
20111600,SNU
20112100,SNU
20112200,Primario
20112400,Primario
20112500,Primario
20112600,Jardin
20112800,Secundario
20113200,Jardin
20113300,Primario
20113400,Jardin
20113400,Primario
20113400,Secundario
20113600,Secundario
20113700,Secundario
20113800,SNU
20113900,SNU
20114000,Jardin
20114000,Primario
20114000,Secundario
20114600,Primario
20114600,Secundario
20114700,Jardin
20114700,Primario
20114700,Secundario
20114800,Primario
20114900,Jardin
20114900,Primario
20114900,Secundario
20115100,SNU
20115200,Primario
20115300,SNU
20115500,Jardin
20115800,Primario
20116000,Primario
20116100,Primario
20116200,Secundario
20116500,Jardin
20116600,Primario
20116700,Primario
20116800,Primario
20116900,Secundario
20117000,Secundario
20117100,Jardin
20117100,Primario
20117100,Secundario
20117200,Primario
20117300,SNU
20117301,SNU
20117302,SNU
20117303,SNU
20117304,SNU
20117305,SNU
20117400,Secundario
20117500,SNU
20117600,Jardin
20117600,Primario
20117600,Secundario
20117700,Jardin
20117700,Primario
20117700,SNU
20117700,Secundario
20117800,Primario
20118100,Jardin
20118200,Secundario
20118500,Primario
20118600,Jardin
20118600,Primario
20118600,Secundario
20118700,Jardin
20118700,Primario
20118700,Secundario
20118800,Jardin
20118800,Primario
20118800,Secundario
20118900,Primario
20119000,Jardin
20119000,Primario
20119000,Secundario
20119100,Jardin
20119100,Primario
20119100,Secundario
20119200,Primario
20119300,Jardin
20119400,Jardin
20119500,Jardin
20119500,Primario
20119500,Secundario
20119600,Jardin
20119600,Primario
20119600,Secundario
20119700,Primario
20119800,Secundario
20119900,Jardin
20120100,Jardin
20120101,Jardin
20120102,Jardin
20120103,Jardin
20120200,Primario
20120400,Jardin
20120400,Primario
20120400,Secundario
20120600,Jardin
20120600,Primario
20120600,Secundario
20120800,Primario
20120900,Jardin
20120900,Primario
20120900,Secundario
20121100,Jardin
20121101,Jardin
20121102,Jardin
20121200,Primario
20121300,Primario
20121400,Primario
20121400,SNU
20121400,Secundario
20121401,Jardin
20121500,Primario
20121600,Secundario
20121700,Jardin
20121700,Primario
20121700,Secundario
20121800,Jardin
20121800,Primario
20121800,Secundario
20122000,Jardin
20122000,Primario
20122000,Secundario
20122100,Jardin
20122100,Primario
20122100,Secundario
20122200,Secundario
20122400,SNU
20122500,Jardin
20122500,Primario
20122500,SNU
20122500,Secundario
20122800,Secundario
20122900,Jardin
20122900,Primario
20122900,Secundario
20123000,Secundario
20123100,Secundario
20123200,Secundario
20123300,Jardin
20123300,Primario
20123300,Secundario
20123400,Secundario
20123700,Primario
20123900,Jardin
20123900,Primario
20123900,SNU
20123900,Secundario
20124000,Primario
20124300,Primario
20124500,Secundario
20124700,Secundario
20124800,Jardin
20124800,Primario
20124800,Secundario
20125000,Secundario
20125100,Jardin
20125100,Primario
20125100,Secundario
20125200,Jardin
20125200,Primario
20125200,Secundario
20125300,Secundario
20125400,Primario
20125500,Primario
20125600,Jardin
20125600,Primario
20126000,Primario
20126100,Primario
20126200,Primario
20126300,Primario
20126400,Primario
20126500,Primario
20126600,Jardin
20126600,Primario
20126600,Secundario
20126700,Secundario
20126800,Jardin
20126800,Primario
20126800,Secundario
20126900,Jardin
20126900,Primario
20126900,Secundario
20127000,Jardin
20127000,Primario
20127000,Secundario
20127100,Secundario
20127200,Primario
20127300,Jardin
20127600,Jardin
20127600,Primario
20127600,Secundario
20127800,Jardin
20127802,Jardin
20127900,Primario
20128000,Jardin
20128000,Primario
20128000,Secundario
20128100,Secundario
20128400,SNU
20128700,SNU
20128800,Secundario
20129000,Jardin
20129000,Primario
20129000,Secundario
20129100,Primario
20129200,Primario
20129400,Primario
20129500,Jardin
20129600,Jardin
20129600,Primario
20129700,Jardin
20129700,Primario
20129700,SNU
20129700,Secundario
20129800,Secundario
20129900,Jardin
20129900,Primario
20129900,Secundario
20130000,Jardin
20130000,Primario
20130000,Secundario
20130100,Primario
20130200,Primario
20130300,Secundario
20130400,Jardin
20130400,Primario
20130400,Secundario
20130500,Jardin
20130500,Primario
20130500,Secundario
20130600,Jardin
20130600,Primario
20130600,Secundario
20130700,Jardin
20130705,Jardin
20130706,Jardin
20130707,Jardin
20130708,Jardin
20130800,Primario
20130900,Jardin
20131000,Jardin
20131000,Primario
20131100,Jardin
20131200,Primario
20131300,Jardin
20131400,Jardin
20131400,Primario
20131400,Secundario
20131800,Secundario
20131900,Jardin
20131900,Primario
20131900,Secundario
20132000,Primario
20132100,Primario
20132200,Primario
20132300,Jardin
20132300,Primario
20132300,Secundario
20132500,Jardin
20132501,Jardin
20132502,Jardin
20132503,Jardin
20132600,Primario
20132800,Jardin
20132800,Primario
20132800,Secundario
20132801,SNU
20132900,SNU
20132901,Jardin
20133000,Primario
20133100,SNU
20133100,Secundario
20133200,Secundario
20133400,Jardin
20133400,Primario
20133400,Secundario
20133500,Jardin
20133500,Primario
20133500,Secundario
20133600,Secundario
20133700,Jardin
20133700,Primario
20133700,Secundario
20133900,Jardin
20133900,Primario
20133900,Secundario
20134000,Primario
20134100,Jardin
20134100,Primario
20134200,Jardin
20134200,Primario
20134200,Secundario
20134300,Primario
20134400,Primario
20134500,Primario
20134500,Secundario
20134600,Jardin
20134600,Primario
20134600,Secundario
20134700,Primario
20134800,Secundario
20135100,Primario
20135200,Secundario
20135300,Primario
20135400,Primario
20135500,Primario
20135700,Primario
20136000,SNU
20136100,SNU
20136400,Primario
20136500,Primario
20136600,Primario
20136700,Primario
20136800,Primario
20136900,Jardin
20136901,Jardin
20136902,Jardin
20136903,Jardin
20137000,Jardin
20137000,Primario
20137000,Secundario
20137100,Jardin
20137200,Jardin
20137201,Jardin
20137202,Jardin
20137203,Jardin
20137300,Jardin
20137300,Primario
20137300,Secundario
20137400,Primario
20137500,Primario
20137800,SNU
20138100,Jardin
20138100,Primario
20138100,Secundario
20138400,Secundario
20138600,Secundario
20138601,Primario
20138602,Jardin
20139100,Jardin
20139100,Primario
20139100,Secundario
20139200,Primario
